번호,한자,뜻,음
418,漆,옻칠할,칠
419,枕,베개,침
420,墮,떨어질,타
421,托,"맡길,밀",탁
422,託,부탁할,탁
423,琢,쪼을,탁
424,誕,낳을,탄
425,胎,아이밸,태
426,殆,위태할,태
427,颱,태풍,태
428,頗,자못,파
429,把,잡을,파
430,罷,"파할,마칠",파
431,覇,으뜸,패
432,遍,두루,편
433,偏,치우칠,편
434,坪,"들,평수",평
435,蔽,덮을,폐
436,幣,폐백,폐
437,廢,"폐할,버릴",폐
438,弊,해질,폐
439,抛,던질,포
440,怖,두려울,포
441,飽,배부를,포
442,漂,뜰,표
443,豹,표범,표
444,虐,사나울,학
445,鶴,학,학
446,旱,가물,한
447,翰,"글,날개",한
448,汗,땀,한
449,含,머금을,함
450,陷,빠질,함
451,艦,싸움배,함
452,該,"그, 갖출",해
453,奚,어찌,해
454,軒,"처마,수레",헌
455,玄,검을,현
456,縣,고을,현
457,懸,매달,현
458,穴,구멍,혈
459,嫌,싫어할,혐
460,峽,골짜기,협
461,脅,"위협할,갈비대",협
462,螢,반딧불,형
463,衡,저울,형
464,型,"틀,본보기",형
465,兮,어조사,혜
466,慧,지혜,혜
467,毫,가는털,호
468,浩,넓을,호
469,互,서로,호
470,胡,오랑캐,호
471,豪,호걸,호
472,酷,독할,혹
473,惑,미혹할,혹
474,魂,넋,혼
475,忽,갑자기,홀
476,鴻,기러기,홍
477,洪,넓을,홍
478,靴,가죽신,화
479,穫,거둘,확
480,還,돌아올,환
481,幻,허깨비,환
482,滑,미끄러울,활
483,荒,거칠,황
484,凰,봉황새,황
485,廻,돌아올,회
486,懷,품을,회
487,獲,사로잡을,획
488,橫,가로,횡
489,曉,새벽,효
490,喉,목구멍,후
491,侯,제후,후
492,勳,공,훈
493,毁,헐,훼
494,輝,빛날,휘
495,携,끌,휴
496,痕,흉터,흔
497,稀,드물,희
498,熙,빛날,희
499,噫,탄식할,희
500,戲,희롱할,희
