번호,한자,뜻,음
389,鎭,진압할,진
390,陣,진칠,진
391,姪,조카,질
392,秩,차례,질
393,差,어긋날,차
394,錯,섞일,착
395,讚,기릴,찬
396,贊,도울,찬
397,倉,곳집,창
398,債,빚,채
399,策,꾀,책
400,戚,겨레,척
401,拓,넓힐,척
402,踐,밟을,천
403,賤,천할,천
404,哲,밝을,철
405,添,더할,첨
406,尖,뾰족할,첨
407,妾,첩,첩
408,廳,청사,청
409,替,바꿀,체
410,超,넘을,초
411,礎,주춧돌,초
412,促,재촉할,촉
413,總,"거느릴,다",총
414,聰,귀밝을,총
415,銃,총,총
416,畜,기를,축
417,蓄,"모을,저축할",축
418,築,쌓을,축
419,縮,줄어질,축
420,醉,술취할,취
421,趣,"취미,뜻",취
422,側,곁,측
423,測,헤아릴,측
424,値,"값, 만날",치
425,置,둘,치
426,恥,부끄러울,치
427,稚,어릴,치
428,沈,잠길,침
429,寢,잠잘,침
430,浸,적실,침
431,侵,침노할,침
432,稱,일컬을,칭
433,妥,평온할,타
434,濯,씻을,탁
435,濁,흐릴,탁
436,歎,탄식할,탄
437,彈,탄알,탄
438,奪,빼앗을,탈
439,貪,탐할,탐
440,塔,탑,탑
441,湯,끓을,탕
442,怠,게으를,태
443,態,모양,태
444,擇,가릴,택
445,澤,못,택
446,兎,토끼,토
447,吐,토할,토
448,鬪,싸울,투
449,透,통할,투
450,派,물갈래,파
451,播,뿌릴,파
452,版,판목,판
453,販,팔,판
454,編,엮을,편
455,評,평론할,평
456,肺,허파,폐
457,砲,대포,포
458,浦,물가,포
459,捕,잡을,포
460,胞,태보,포
461,爆,터질,폭
462,幅,폭,폭
463,標,표할,표
464,被,입을,피
465,避,피할,피
466,畢,마칠,필
467,荷,"연꽃,짐",하
468,割,벨,할
469,咸,다,함
470,巷,거리,항
471,抗,겨룰,항
472,項,목,항
473,航,배,항
474,港,항구,항
475,核,씨,핵
476,享,누릴,향
477,響,소리,향
478,獻,드릴,헌
479,憲,법,헌
480,險,험할,험
481,革,가죽,혁
482,顯,나타날,현
483,絃,줄,현
484,弦,활시위,현
485,亨,형통할,형
486,護,보호할,호
487,昏,저물,혼
488,弘,클,홍
489,禾,벼,화
490,禍,재앙,화
491,確,굳을,확
492,擴,넓힐,확
493,環,고리,환
494,換,바꿀,환
495,丸,알,환
496,況,하물며,황
497,悔,뉘우칠,회
498,灰,재,회
499,劃,그을,획
500,揮,휘두를,휘
