번호,한자,뜻,음
784,纘,이을,찬
785,粲,정미,찬
786,擦,비빌,찰
787,塹,구덩이,참
788,懺,뉘우칠,참
789,讒,참소할,참
790,瘡,부스럼,창
791,愴,슬퍼할,창
792,菖,창포,창
793,廠,헛간,창
794,寀,녹봉,채
795,綵,채색비단,채
796,凄,쓸쓸할,처
797,脊,등성마루,척
798,剔,뼈바를,척
799,滌,씻을,척
800,坧,터,척
801,瘠,파리할,척
802,阡,밭두둑,천
803,仟,"일천,천사람",천
804,轍,바퀴자국,철
805,凸,볼록할,철
806,綴,철할,철
807,僉,다,첨
808,諂,아첨할,첨
809,籤,제비,첨
810,帖,문서,첩
811,牒,서찰,첩
812,諦,살필,체
813,誚,꾸짖을,초
814,樵,나무할,초
815,蕉,파초,초
816,塚,무덤,총
817,楸,가래나무,추
818,墜,떨어질,추
819,錐,송곳,추
820,錘,저울추,추
821,樞,지도리,추
822,賰,부유할,춘
823,瑃,옥이름,춘
824,珫,귀고리,충
825,萃,모을,췌
826,脆,연할,취
827,娶,장가들,취
828,翠,푸를,취
829,馳,달릴,치
830,熾,불활활탈,치
831,癡,어리석을,치
832,琛,보배,침
833,蟄,겨울잠잘,칩
834,秤,저울,칭
835,夬,나눌,쾌
836,惰,게으를,타
837,咤,꾸짖을,타
838,垞,언덕,택
839,唾,침,타
840,晫,밝을,탁
841,擢,뽑을,탁
842,琸,사람이름,탁
843,倬,클,탁
844,憚,꺼릴,탄
845,嘆,탄식할,탄
846,坦,평탄할,탄
847,耽,즐길,탐
848,搭,탈,탑
849,蕩,쓸어버릴,탕
850,邰,나라이름,태
851,跆,밟을,태
852,苔,이끼,태
853,汰,"일,씻을",태
854,撐,버틸,탱
855,筒,대통,통
856,桶,통,통
857,堆,쌓을,퇴
858,套,덮개,투
859,妬,투기할,투
860,巴,땅이름,파
861,杷,비파나무,파
862,琶,비파,파
863,芭,파초,파
864,婆,할미,파
865,坂,고개,판
866,沛,늪,패
867,浿,물이름,패
868,佩,찰,패
869,澎,물부딪는소리,팽
870,烹,삶을,팽
871,堭,당집,황
872,枰,바둑판,평
873,陛,섬돌,폐
874,褒,기릴,포
875,泡,물거품,포
876,庖,부엌,포
877,輻,바퀴살통,폭
878,瀑,폭포,폭
879,驃,날랠,표
880,彪,범,표
881,飄,회오리바람,표
882,稟,"줄,천품",품
883,諷,욀,풍
884,披,헤칠,피
885,佖,점잖을,필
886,鉍,창자루,필
887,珌,칼집장식옥,필
888,苾,향기날,필
889,馝,향기로울,필
890,娍,"아름다울,헌걸찰",성
891,逼,닥칠,핍
892,霞,놀,하
893,遐,멀,하
894,蝦,새우,하
895,廈,큰집,하
896,壑,"골,구렁",학
897,謔,희롱거릴,학
898,澣,빨래,한
899,閒,한가할,한
900,緘,봉할,함
901,涵,젖을,함
902,鹹,짤,함
903,姮,항아,항
904,駭,놀랄,해
905,邂,만날,해
906,偕,함께,해
907,楷,해서,해
908,諧,"화할,농담",해
909,倖,요행,행
910,婠,품성좋을,완
911,饗,잔치할,향
912,珦,향옥,향
913,墟,터,허
914,奕,클,혁
915,泫,물깊고넓을,현
916,眩,아찔할,현
917,玹,"옥돌,옥빛",현
918,晛,햇살,현
919,挾,낄,협
920,浹,두루미칠,협
921,俠,호협할,협
922,荊,가시나무,형
923,熒,"등불반짝일,미혹할",형
924,泂,멀,형
925,珩,패옥,형
926,蕙,난초,혜
927,彗,"비,혜성",혜
928,譿,"슬기로울,살필",혜
929,頀,"구할,탕나라풍류",호
930,淏,맑을,호
931,灝,물넓고멀,호
932,壺,병,호
933,瑚,산호,호
934,狐,여우,호
935,顥,"클,흴",호
936,糊,풀,호
937,琥,호박,호
938,弧,활,호
939,濩,흘러퍼질,호
940,渾,흐릴,혼
941,惚,황홀할,홀
942,鉷,돌쇠뇌,홍
943,虹,무지개,홍
944,烘,화톳불,홍
945,嬅,여자이름,화
946,樺,자작나무,화
947,驩,기뻐할,환
948,喚,부를,환
949,奐,"빛날,클",환
950,鐶,쇠고리,환
951,晥,환할,환
952,渙,흘러흩어질,환
953,紈,흰비단,환
954,闊,넓을,활
955,惶,두려워할,황
956,璜,반달옥,황
957,徨,방황할,황
958,煌,빛날,황
959,簧,생황,황
960,媓,어머니,황
961,榥,책상,황
962,恍,황홀할,황
963,誨,가르칠,회
964,繪,그림,회
965,晦,그믐,회
966,恢,"넓을,클",회
967,檜,노송나무,회
968,徊,배회할,회
969,澮,봇도랑,회
970,鐄,큰종,횡
971,斅,가르칠,효
972,涍,강이름,효
973,驍,날랠,효
974,嚆,울릴,효
975,逅,만날,후
976,鑂,금빛바랠,훈
977,燻,불기운,훈
978,焄,"연기에그을릴,향내",훈
979,暄,따뜻할,훤
980,喧,시끄러울,훤
981,萱,원추리,훤
982,彙,무리,휘
983,暉,빛,휘
984,虧,이지러질,휴
985,譎,속일,휼
986,欣,기뻐할,흔
987,昕,아침,흔
988,炘,화끈거릴,흔
989,屹,산우뚝솟을,흘
990,洽,"윤택하게할,젖을",흡
991,翕,"합할,모일",흡
992,恰,흡사할,흡
993,晞,마를,희
994,爔,불빛,희
995,僖,즐거울,희
996,曦,햇빛,희
997,凞,화할,희
998,詰,힐난할,힐
999,憓,사랑할,혜
1000,嵇,산이름,혜
