번호,한자,뜻,음
456,懈,게으를,해
457,骸,뼈,해
458,杏,"은행,살구",행
459,赫,"붉을,빛날",혁
460,爀,빛날,혁
461,峴,고개,현
462,炫,빛날,현
463,鉉,솥귀,현
464,狹,좁을,협
465,瀅,맑을,형
466,炯,빛날,형
467,邢,"성,나라이름",형
468,馨,향기,형
469,扈,뒤따를,호
470,晧,밝을,호
471,祜,복,호
472,昊,하늘,호
473,濠,"해자,강이름",호
474,壕,"해자,도랑",호
475,鎬,"호경,빛날",호
476,皓,흴,호
477,泓,물깊을,홍
478,桓,굳셀,환
479,煥,빛날,환
480,猾,교활할,활
481,滉,깊을,황
482,晃,밝을,황
483,賄,뇌물,회
484,淮,물이름,회
485,后,왕후,후
486,熏,연기낄,훈
487,壎,"질나팔,흙풍류",훈
488,薰,"향풀,향내",훈
489,徽,아름다울,휘
490,烋,아름다울,휴
491,匈,"떠들썩할,종족이름",흉
492,欽,공경할,흠
493,欠,하품,흠
494,憙,기뻐할,희
495,禧,복,희
496,熹,불빛성할,희
497,羲,사람이름,희
498,姬,아씨,희
499,嬉,즐길,희
500,犧,희생,희
